№;Область;ФИЛИАЛ;АДРЕС;ТЕЛЕФОН;ОРИЕНТИР;Город / Район;Цена до офиса 1 кг / Следующий 1 кг;"Срок доставки до офиса
(в часах)";Цена до дома 1кг / Следующий 1 кг;"Срок доставки до дома
(в часах)"
132;Таш. Обл.;Yuqori Chirchiq ( Janabazar);ул. Хамкорлик, 1;933786840;Янгибозор ЗАГС;Юқори Чирчиқ;29000 / 6500;24 (соат 13:00 гача);55000 / 8000;(1-2 кунгача)
133;Таш. Обл.;Parkent;A.Navoyi shoh ko'chasi;933888645;Хотира ва Қадрлаш майдони;Паркент;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
134;Таш. Обл.;Qibray;A.Navoyi ko'chasi, 226 -uy;933813102;Макро олдида;Қибрай;29000 / 6500;24 (соат 13:00 гача);55000 / 8000;(1-2 кунгача)
135;Таш. Обл.;Do'stobod (Quyi Chirchiq);Бибихоним 42;933784430;Дўстлик Тўйхона;Дўстобод;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
136;Таш. Обл.;Chinoz; Samarqand ko'chasi, 26 -uy;933882156;Чиноз Савдо комплекси;Чиноз;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
137;Таш. Обл.;Bo'ka;A.Navoyi ko'chasi, 11 uy;933813128;Бўка Шох бекати;Бўка;29000 / 6500;24 (соат 13:00 гача);55000 / 8000;(1-2 кунгача)
138;Таш. Обл.;Piskent;Амир Тимур кучаси 82уй;933811031;Пискент Дехвон бозори;Пискент;29000 / 6500;24 (соат 13:00 гача);55000 / 8000;(1-2 кунгача)
139;Таш. Обл.;Ohangaron;ул. Амира Тимура 25;933812171;Темир Ота рўпарасида;Ахангаран;25000 / 6000;24;45000 / 7000;(1-2 кунгача)
140;Таш. Обл.;Nurafshon;Тошкент йули кучаси. 85;933885838;Туйтепа Макро рўпарасида;Нурафшан;25000 / 6000;24 (соат 13:00 гача);45000 / 7000;(1-2 кунгача)
141;Таш. Обл.;Gʻazalkent (Bo'stonliq);Бустонлик кўчаси 74 уй;933811343;Кинотеатр Бўстон;Газалкент  ;35000 / 6500;24 (соат 13:00 гача);60000 / 8000;(1-2 кунгача)
142;Таш. Обл.;Yangiyo'l;Самаркадская улица 199;933811375;Поликлина рўпарасида;Янгиюль ;25000 / 6000;24;45000 / 7000;(1-2 кунгача)
143;Таш. Обл.;Chirchiq;ул. А.Навои, дом 295/3;933810268;"""Сафия"" ширинликлари ёнида";Чирчик;25000 / 6000;24;45000 / 7000;(1-2 кунгача)
144;Таш. Обл.;Angren;Навоий кўчаси 23- дом 11-уй;933817434;"Кольцо, Кафе ""Теремок""";Ангрен;25000 / 6000;24 (соат 13:00 гача);45000 / 7000;(1-2 кунгача)
